step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2508688051_5148642229_5148642231_stopped,cluster_2508688051_5148642229_5148642231_accumulated_waiting_time,cluster_2508688051_5148642229_5148642231_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
460.0,1,2.0,0.16666666666666666,8.568357768940198,1,5.0,0.4905760153757987,1,5.0
465.0,2,9.0,0.75,7.937311331720797,2,12.0,0.0005867007389412329,2,12.0
470.0,2,19.0,1.5833333333333333,7.755022822747577,2,22.0,0.3288320403414471,2,22.0
475.0,0,0.0,0.0,8.166896686852116,0,13.0,0.24074758995207857,0,13.0
480.0,0,0.0,0.0,8.586014382722539,0,0.0,1.0,0,0.0
485.0,0,0.0,0.0,10.214120700133215,0,0.0,1.0,0,0.0
490.0,0,0.0,0.0,8.979944806505452,0,0.0,1.0,0,0.0
495.0,0,0.0,0.0,7.489063329209306,0,0.0,1.0,0,0.0
500.0,7,0.0,0.0,3.421861512127377,0,0.0,1.0,0,0.0
505.0,0,0.0,0.0,7.983632218656492,0,0.0,1.0,0,0.0
510.0,0,0.0,0.0,9.38257370453209,0,0.0,1.0,0,0.0
515.0,0,0.0,0.0,9.35681846519485,0,0.0,0.9681207174531121,0,0.0
520.0,0,0.0,0.0,9.882546193566718,0,3.0,0.9470225921297565,0,3.0
525.0,0,0.0,0.0,8.578498258721806,0,0.0,1.0,0,0.0
530.0,1,2.0,0.2,7.034602791933684,1,2.0,0.3758708864364169,1,2.0
535.0,1,2.0,0.2,7.419950226049258,0,0.0,0.5816233692644049,0,0.0
540.0,2,4.0,0.4444444444444444,6.617249196079161,2,4.0,0.0009168459563487129,2,4.0
545.0,2,14.0,1.75,6.5070346205957925,2,14.0,0.0,2,14.0
550.0,2,24.0,3.0,6.592381270312702,2,24.0,0.0,2,24.0
555.0,3,37.0,5.285714285714286,5.2302725062482756,3,37.0,2.3650275682960803e-05,3,37.0
560.0,3,52.0,7.428571428571429,4.619770018954216,3,52.0,0.0,3,52.0
565.0,1,2.0,0.11764705882352941,4.996236786563397,0,11.0,0.3340433929562514,0,11.0
570.0,0,0.0,0.0,8.951639122274294,0,0.0,1.0,0,0.0
575.0,1,1.0,0.058823529411764705,8.776283661624689,0,0.0,0.7593528060301544,0,0.0
580.0,0,0.0,0.0,9.617478921102153,0,4.0,0.9359361774997318,0,4.0
585.0,0,0.0,0.0,9.3370901307723,0,6.0,0.9199746884420598,0,6.0
590.0,1,1.0,0.06666666666666667,8.567934591544633,1,6.0,0.4485659547448933,1,6.0
595.0,2,3.0,0.2,7.306636553317722,1,7.0,0.4871925362816507,1,7.0
600.0,1,7.0,0.5,7.6154446050552895,1,12.0,0.4183698086098054,1,12.0
605.0,3,17.0,1.3076923076923077,6.850930921627109,3,22.0,0.0006077417616151586,3,22.0
610.0,3,32.0,2.4615384615384617,6.0278996346288505,3,37.0,0.2448898241010175,3,37.0
615.0,4,49.0,3.769230769230769,6.007672707738414,4,54.0,0.0003650792359163106,4,54.0
620.0,4,69.0,6.2727272727272725,5.212504774999838,4,74.0,0.01778515000777712,4,74.0
625.0,8,0.0,0.0,3.159039151507061,0,33.0,0.19309967990798196,0,33.0
630.0,0,0.0,0.0,8.256968050873233,0,0.0,1.0,0,0.0
635.0,0,0.0,0.0,8.727345428653562,0,0.0,1.0,0,0.0
640.0,1,5.0,0.2631578947368421,8.992871766152573,0,0.0,0.9965528574135827,0,0.0
645.0,0,0.0,0.0,9.23878328307136,0,8.0,0.8270045030391744,0,8.0
650.0,0,0.0,0.0,8.452011106805964,0,5.0,0.6881881809266082,0,5.0
655.0,2,4.0,0.23529411764705882,7.958154165363398,1,3.0,0.0,1,3.0
660.0,1,6.0,0.4,7.045482590462242,0,0.0,0.8929540244193863,0,0.0
665.0,2,4.0,0.2857142857142857,4.9195731153144395,1,1.0,0.23986725210679544,1,1.0
670.0,2,8.0,0.6153846153846154,6.94470409094356,2,8.0,0.0006125749727965171,2,8.0
675.0,3,21.0,1.9090909090909092,6.565248192476025,3,21.0,6.825661543108334e-05,3,21.0
680.0,3,36.0,3.6,4.777033681966097,3,36.0,0.0,3,36.0
685.0,3,51.0,5.1,5.528365838780112,3,51.0,0.0,3,51.0
690.0,2,3.0,0.15,5.828636498297139,0,16.0,0.22099183515471033,0,16.0
695.0,0,0.0,0.0,8.572438724965789,0,0.0,0.7038267987581901,0,0.0
700.0,3,9.0,0.47368421052631576,8.075616692285822,0,0.0,0.9164793517015657,0,0.0
705.0,2,9.0,0.5,8.188003283971515,1,4.0,0.5507065315094537,1,4.0
710.0,1,6.0,0.375,8.21033959601196,1,14.0,0.38535150067449925,1,14.0
715.0,2,12.0,0.75,7.829566068818742,2,20.0,0.32352567518508746,2,20.0
720.0,1,1.0,0.0625,7.390000687402738,0,0.0,0.923580273505826,0,0.0
725.0,3,11.0,0.7857142857142857,6.089839888654554,0,0.0,0.3608201621484481,0,0.0
730.0,6,38.0,2.923076923076923,5.195461672450142,2,9.0,2.6505385994434093e-05,2,9.0
735.0,5,52.0,4.333333333333333,4.009406565553165,2,19.0,0.009423099460106108,2,19.0
740.0,3,34.0,2.8333333333333335,5.883130861883348,3,34.0,0.0,3,34.0
745.0,4,53.0,4.416666666666667,5.725190850261609,3,49.0,0.0,3,49.0
750.0,12,0.0,0.0,2.479371554046033,0,13.0,0.4548799753481674,0,13.0
755.0,0,0.0,0.0,8.51102878270257,0,0.0,0.6722009391844356,0,0.0
760.0,0,0.0,0.0,8.889730576863512,0,0.0,1.0,0,0.0
765.0,1,4.0,0.18181818181818182,8.213455263208571,0,3.0,0.7966783468438958,0,3.0
770.0,0,0.0,0.0,7.99363961078088,0,3.0,0.5311721597574199,0,3.0
775.0,1,5.0,0.25,8.475867986578013,1,11.0,0.554448696321688,1,11.0
780.0,1,3.0,0.15789473684210525,7.574662660087112,1,9.0,0.04820072442097758,1,9.0
785.0,2,13.0,0.7222222222222222,7.582902231306832,2,19.0,0.30455932685512943,2,19.0
790.0,3,25.0,1.4705882352941178,6.683931102970961,3,31.0,0.07579921477276842,3,31.0
795.0,5,45.0,2.8125,5.943731163341729,5,51.0,0.0014044301921745923,5,51.0
800.0,5,70.0,4.375,5.648833975670256,5,76.0,0.13072424435533578,5,76.0
805.0,5,95.0,6.333333333333333,5.135301747696732,5,101.0,0.1629744289703143,5,101.0
810.0,1,2.0,0.14285714285714285,5.9347562042894655,1,68.0,0.13839237483235248,1,68.0
815.0,2,3.0,0.125,6.744665490579204,0,2.0,0.5966926240186833,0,2.0
820.0,1,1.0,0.041666666666666664,8.614362028248493,0,0.0,1.0,0,0.0
825.0,1,3.0,0.13043478260869565,8.70792109527191,0,0.0,0.9367398469971262,0,0.0
830.0,0,0.0,0.0,8.736456644589914,0,3.0,0.7086139617792804,0,3.0
835.0,1,3.0,0.13636363636363635,8.624806334544683,1,12.0,0.6438209294799578,1,12.0
840.0,1,8.0,0.38095238095238093,7.439025806560678,1,8.0,0.0065043060919456,1,8.0
845.0,1,3.0,0.15789473684210525,6.658657099446755,0,0.0,0.08618818621707741,0,0.0
850.0,1,5.0,0.2777777777777778,6.465889689487515,1,5.0,0.3491910414182718,1,5.0
855.0,2,14.0,0.875,6.865672619830683,2,14.0,0.2876851563167271,2,14.0
860.0,4,31.0,2.2142857142857144,6.2301209779972195,3,27.0,8.4254508781459e-05,3,27.0
865.0,4,51.0,3.923076923076923,4.48205993589246,3,42.0,0.0,3,42.0
870.0,5,75.0,5.769230769230769,4.801736965393445,3,57.0,0.0,3,57.0
875.0,16,101.0,4.590909090909091,2.2895676801248954,3,72.0,0.0,3,72.0
880.0,6,131.0,5.695652173913044,6.180389781185092,3,87.0,0.0,3,87.0
885.0,7,163.0,6.791666666666667,5.513973652406584,3,102.0,0.0,3,102.0
890.0,8,203.0,9.227272727272727,5.9592267735858515,3,120.0,0.46494645656376427,3,120.0
895.0,4,62.0,2.8181818181818183,5.348416629554709,1,51.0,0.4575717169460526,1,51.0
900.0,1,7.0,0.3333333333333333,7.885597917214018,1,40.0,0.4235076542612083,1,40.0
905.0,2,15.0,0.75,7.974610372077902,2,15.0,5.742968092761262e-05,2,15.0
910.0,2,25.0,1.25,7.419737214660389,2,25.0,0.2156127128976735,2,25.0
915.0,2,35.0,2.0588235294117645,7.872960829541863,2,36.0,0.2663104689951581,2,36.0
920.0,2,45.0,2.6470588235294117,7.446017234435123,2,46.0,0.2890489144643482,2,46.0
925.0,0,0.0,0.0,8.671406798963872,0,1.0,0.06981926241970507,0,1.0
930.0,1,3.0,0.25,7.5343061114276395,1,4.0,0.11212880977242583,1,4.0
935.0,4,15.0,1.5,4.757804963228483,3,15.0,0.0002648081170946354,3,15.0
940.0,9,42.0,1.68,4.090340880977857,3,30.0,0.0,3,30.0
945.0,5,63.0,2.3333333333333335,6.8947215698259345,3,45.0,0.0,3,45.0
950.0,6,91.0,3.25,6.920195242694816,3,60.0,0.4500740562510592,3,60.0
955.0,7,122.0,4.518518518518518,6.766890517479288,4,79.0,0.28476947304943323,4,79.0
960.0,1,23.0,0.8518518518518519,6.659185610942513,0,41.0,0.394924670672468,0,41.0
965.0,3,5.0,0.19230769230769232,6.927021094285903,2,39.0,0.28991883038087574,2,39.0
970.0,5,27.0,1.125,6.586736250499929,2,37.0,0.0,2,37.0
